
[2021-01-29 11:26:44.433] 022634.80,,,,,0,00,99.99,,,,,177.8,*56
[2021-01-29 11:26:54.962] $GNGGA,022653.40,,,,,0,00,99.99,,,,,196.4,*58
[2021-01-29 11:26:55.055] $GNGGA,022653.50,,,,,0,00,99.99,,,,,196.5,*58
[2021-01-29 11:26:55.165] $GNGGA,022653.60,,,,,0,00,99.99,,,,,196.6,*58
[2021-01-29 11:26:55.260] $GNGGA,022653.70,,,,,0,00,99.99,,,,,196.7,*58
[2021-01-29 11:26:55.354] $GNGGA,022653.80,,,,,0,00,99.99,,,,,196.8,*58
[2021-01-29 11:26:55.464] $GNGGA,022653.90,,,,,0,00,99.99,,,,,196.9,*58
[2021-01-29 11:26:55.557] $GNGGA,022654.00,,,,,0,00,99.99,,,,,197.0,*5E
[2021-01-29 11:26:55.667] $GNGGA,022654.10,,,,,0,00,99.99,,,,,197.1,*5E
[2021-01-29 11:26:55.760] $GNGGA,022654.20,,,,,0,00,99.99,,,,,197.2,*5E
[2021-01-29 11:26:55.854] $GNGGA,022654.30,,,,,0,00,99.99,,,,,197.3,*5E
[2021-01-29 11:26:55.964] $GNGGA,022654.40,,,,,0,00,99.99,,,,,197.4,*5E
[2021-01-29 11:26:56.057] $GNGGA,022654.50,,,,,0,00,99.99,,,,,197.5,*5E
[2021-01-29 11:26:56.167] $GNGGA,022654.60,,,,,0,00,99.99,,,,,197.6,*5E
[2021-01-29 11:26:56.261] $GNGGA,022654.70,,,,,0,00,99.99,,,,,197.7,*5E
[2021-01-29 11:26:56.356] $GNGGA,022654.80,,,,,0,00,99.99,,,,,197.8,*5E
[2021-01-29 11:26:56.465] $GNGGA,022654.90,,,,,0,00,99.99,,,,,197.9,*5E
[2021-01-29 11:26:56.559] $GNGGA,022655.00,,,,,0,00,99.99,,,,,198.0,*50
[2021-01-29 11:26:56.653] $GNGGA,022655.10,,,,,0,00,99.99,,,,,198.1,*50
[2021-01-29 11:26:56.762] $GNGGA,022655.20,,,,,0,00,99.99,,,,,198.2,*50
[2021-01-29 11:26:56.856] $GNGGA,022655.30,,,,,0,00,99.99,,,,,198.3,*50
[2021-01-29 11:26:56.965] $GNGGA,022655.40,,,,,0,00,99.99,,,,,198.4,*50
[2021-01-29 11:26:57.059] $GNGGA,022655.50,,,,,0,00,99.99,,,,,198.5,*50
[2021-01-29 11:26:57.153] $GNGGA,022655.60,,,,,0,00,99.99,,,,,198.6,*50
[2021-01-29 11:26:57.263] $GNGGA,022655.70,,,,,0,00,99.99,,,,,198.7,*50
[2021-01-29 11:26:57.357] $GNGGA,022655.80,,,,,0,00,99.99,,,,,198.8,*50
[2021-01-29 11:26:57.466] $GNGGA,022655.90,,,,,0,00,99.99,,,,,198.9,*50
[2021-01-29 11:26:57.560] $GNGGA,022656.00,,,,,0,00,99.99,,,,,199.0,*52
[2021-01-29 11:26:57.653] $GNGGA,022656.10,,,,,0,00,99.99,,,,,199.1,*52
[2021-01-29 11:26:57.763] $GNGGA,022656.20,,,,,0,00,99.99,,,,,199.2,*52
[2021-01-29 11:26:57.857] $GNGGA,022656.30,,,,,0,00,99.99,,,,,199.3,*52
[2021-01-29 11:26:57.966] $GNGGA,022656.40,,,,,0,00,99.99,,,,,199.4,*52
[2021-01-29 11:26:58.060] $GNGGA,022656.50,,,,,0,00,99.99,,,,,199.5,*52
