,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
2919,[2021-01-29 11:31:37.702] $GPGGA,23136.3,4327.7217259,N,14148.345453,E,4,11,0.9,107.8471,M,31.83,M,4.0,0000*50,43.46202876499999,141.80575754999998,565181.8546908372,4812439.668145231
2920,[2021-01-29 11:31:37.780] $GPGGA,23136.4,4327.7217261999995,N,14148.3454542,E,4,11,0.9,107.8461,M,31.83,M,4.0,0000*5B,43.46202876999999,141.80575757,565181.8563033747,4812439.668716173
2921,[2021-01-29 11:31:37.889] $GPGGA,23136.5,4327.7217254,N,14148.3454521,E,4,11,0.9,107.8474,M,31.83,M,4.0,0000*5E,43.46202875666667,141.805757535,565181.853486361,4812439.667208009
2922,[2021-01-29 11:31:37.983] $GPGGA,23136.6,4327.7217256,N,14148.3454537,E,4,11,0.9,107.8464,M,31.83,M,4.0,0000*59,43.46202876,141.80575756166667,565181.8556399903,4812439.667599073
2923,[2021-01-29 11:31:38.092] $GPGGA,23136.7,4327.7217252,N,14148.3454536,E,4,11,0.9,107.8465,M,31.83,M,4.0,0000*5C,43.462028753333335,141.80575756000002,565181.8555123277,4812439.666857382
2924,[2021-01-29 11:31:38.186] $GPGGA,23136.8,4327.7217249,N,14148.345454100001,E,4,11,0.9,107.8468,M,31.83,M,4.0,0000*54,43.462028748333324,141.80575756833335,565181.8561918283,4812439.6663086135
2925,[2021-01-29 11:31:38.297] $GPGGA,23136.9,4327.7217252,N,14148.3454535,E,4,11,0.9,107.8457,M,31.83,M,4.0,0000*50,43.462028753333335,141.8057575583333,565181.8553775004,4812439.6668560775
2926,[2021-01-29 11:31:38.391] $GPGGA,23137.0,4327.7217255000005,N,14148.345453200001,E,4,11,0.9,107.8435,M,31.83,M,5.0,0000*5D,43.46202875833334,141.80575755333336,565181.8549676546,4812439.667407456
2927,[2021-01-29 11:31:38.485] $GPGGA,23137.1,4327.7217259,N,14148.345454499999,E,4,11,0.9,107.8437,M,31.83,M,5.0,0000*52,43.46202876499999,141.80575757499994,565181.8567132185,4812439.668164795
2928,[2021-01-29 11:31:38.579] $GPGGA,23137.2,4327.7217137,N,14148.345446700001,E,4,11,0.9,107.8574,M,31.83,M,5.0,0000*5D,43.46202856166667,141.805757445,565181.8464152826,4812439.645481284
2929,[2021-01-29 11:31:38.688] $GPGGA,23137.3,4327.721708,N,14148.345442200001,E,4,11,0.9,107.8724,M,31.83,M,5.0,0000*57,43.462028466666666,141.80575737000004,565181.8404501971,4812439.634872085
2930,[2021-01-29 11:31:38.782] $GPGGA,23137.4,4327.7217058999995,N,14148.3454401,E,4,11,0.9,107.8845,M,31.83,M,5.0,0000*5D,43.46202843166666,141.80575733499998,565181.837656458,4812439.630957667
2931,[2021-01-29 11:31:38.891] $GPGGA,23137.5,4327.7217057,N,14148.345440000001,E,4,11,0.9,107.8917,M,31.83,M,5.0,0000*55,43.46202842833333,141.80575733333333,565181.8375252141,4812439.630586171
2932,[2021-01-29 11:31:38.985] $GPGGA,23137.6,4327.7217066,N,14148.3454398,E,4,11,0.9,107.8957,M,31.83,M,5.0,0000*56,43.462028443333345,141.80575732999998,565181.8372394454,4812439.632249433
2933,[2021-01-29 11:31:39.094] $GPGGA,23137.7,4327.7217071000005,N,14148.345439300001,E,4,11,0.9,107.8964,M,31.83,M,5.0,0000*5A,43.46202845166667,141.8057573216667,565181.8365563677,4812439.633168392
2934,[2021-01-29 11:31:39.188] $GPGGA,23137.8,4327.7217078,N,14148.345439200002,E,4,11,0.9,107.8966,M,31.83,M,5.0,0000*5F,43.46202846333335,141.80575732000005,565181.8364090096,4812439.6344627645
2935,[2021-01-29 11:31:39.299] $GPGGA,23137.9,4327.721707600001,N,14148.345439700002,E,4,11,0.9,107.8962,M,31.83,M,5.0,0000*51,43.46202846000001,141.80575732833339,565181.8370867195,4812439.634099091
2936,[2021-01-29 11:31:39.393] $GPGGA,23138.0,4327.7217075,N,14148.345439300001,E,4,11,0.9,107.8926,M,31.83,M,6.0,0000*53,43.46202845833333,141.8057573216667,565181.836549205,4812439.633908776
