,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
7347,[2021-01-29 11:17:08.059] $GNGGA,21706.5,4327.729243338,N,14148.329551706001,E,4,9,1.25,110.728,M,31.866,M,4.5,1010*64,43.46215405563333,141.80549252843335,565160.2810917279,4812453.375288096
7348,[2021-01-29 11:17:08.153] $GNGGA,21706.6,4327.729243946,N,14148.329549343998,E,4,9,1.25,110.73200000000001,M,31.866,M,4.6,1010*67,43.46215406576666,141.80549248906664,565160.2778962636,4812453.376382684
7349,[2021-01-29 11:17:08.263] $GNGGA,21706.7,4327.729244279,N,14148.329546578001,E,4,9,1.25,110.73100000000001,M,31.866,M,4.7,1010*62,43.462154071316675,141.80549244296668,565160.2741610355,4812453.3769629905
7350,[2021-01-29 11:17:08.357] $GNGGA,21706.8,4327.7292431979995,N,14148.329548004,E,4,9,1.25,110.73,M,31.866,M,4.8,1010*68,43.46215405329999,141.80549246673334,565160.2761029961,4812453.374980689
7351,[2021-01-29 11:17:08.466] $GNGGA,21706.9,4327.729243596,N,14148.329547746001,E,4,9,1.25,110.73,M,31.866,M,4.9,1010*6C,43.46215405993333,141.80549246243336,565160.2757480233,4812453.375714011
7352,[2021-01-29 11:17:08.560] $GNGGA,21707.0,4327.729242874,N,14148.32954782,E,4,9,1.25,110.73299999999999,M,31.866,M,5.0,1010*60,43.46215404790001,141.80549246366667,565160.2758607173,4812453.374378579
7353,[2021-01-29 11:17:08.654] $GNGGA,21707.1,4327.729242878,N,14148.329546746001,E,4,9,1.25,110.73100000000001,M,31.866,M,5.1,1010*60,43.46215404796667,141.80549244576667,565160.27441262,4812453.374371978
7354,[2021-01-29 11:17:08.763] $GNGGA,21707.2,4327.729242341,N,14148.329546051002,E,4,9,1.25,110.73100000000001,M,31.866,M,5.2,1010*60,43.46215403901666,141.80549243418338,565160.273485201,4812453.373368947
7355,[2021-01-29 11:17:08.857] $GNGGA,21707.3,4327.729242306,N,14148.329546396,E,4,9,1.25,110.728,M,31.866,M,5.3,1010*63,43.462154038433326,141.80549243993332,565160.2739509698,4812453.373308661
7356,[2021-01-29 11:17:08.966] $GNGGA,21707.4,4327.7292419840005,N,14148.329546868,E,4,9,1.25,110.73,M,31.866,M,5.4,1010*63,43.46215403306667,141.80549244780002,565160.2745931131,4812453.372718806
